id,log,seen,semantic_template,template,valid,predict
1,"printFreezingDisplayLogsopening app wtoken = AppWindowToken(9f4ef63 token=Token(a64f992 ActivityRecord(de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761))), allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",False,"printFreezingDisplayLogsopening app wtoken = {app_window_token}, allDrawn= {all_drawn}, startingDisplayed = {starting_displayed}, startingMoved = {starting_moved}, isRelaunching = {is_relaunching}","printFreezingDisplayLogsopening app wtoken = AppWindowToken(<*> token=Token(<*> ActivityRecord(<*> u0 <*>/.<*> t761))), allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",True,"printFreezingDisplayLogsopening app wtoken = <*>, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
2,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",False,"acquire lock={lock}, flags={flags}, tag={tag}, name={name}, ws={ws}, uid={uid}, pid={pid}","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",True,"acquire lock=<*>, flags=<*>, tag=<*>, name=<*>, ws=<*>, uid=<*>, pid=<*>"
3,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",False,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",True,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>userId=<*>"
4,Skipping AppWindowToken(df0798e token=Token(78af589 ActivityRecord(3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761))) -- going to hide,False,Skipping AppWindowToken({app_window_token}) -- going to hide,Skipping AppWindowToken(<*> token=Token(<*> ActivityRecord(<*> u0 <*>))) -- going to hide,True,Skipping AppWindowToken(<*>) -- going to hide
5,visible is system.time.showampm,False,visible is {system.time.showampm},visible is <*>,True,visible is <*>
6,mVisiblity.getValue is false,False,mVisiblity.getValue is {value},mVisiblity.getValue is <*>,True,mVisiblity.getValue is <*>
7,visible is system.charge.show,False,visible is {system.time.showampm},visible is <*>,True,visible is <*>
8,mVisiblity.getValue is false,False,mVisiblity.getValue is {value},mVisiblity.getValue is <*>,True,mVisiblity.getValue is <*>
9,visible is system.call.count gt 0,False,visible is {system.time.showampm},visible is <*> gt <*>,True,visible is <*>
10,mVisiblity.getValue is false,False,mVisiblity.getValue is {value},mVisiblity.getValue is <*>,True,mVisiblity.getValue is <*>
11,visible is system.message.count gt 0,False,visible is {system.time.showampm},visible is <*> gt <*>,True,visible is <*>
12,mVisiblity.getValue is false,False,mVisiblity.getValue is {value},mVisiblity.getValue is <*>,True,mVisiblity.getValue is <*>
13,visible is system.ownerinfo.show,False,visible is {system.time.showampm},visible is <*>,True,visible is <*>
14,mVisiblity.getValue is false,False,mVisiblity.getValue is {value},mVisiblity.getValue is <*>,True,mVisiblity.getValue is <*>
15,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",False,"release:lock={lock}, flg={flg}, tag={tag}, name={name}"", ws={ws}, uid={uid}, pid={pid}","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",True,"release:lock=<*>, flg=<*>, tag=<*>, name=<*>"", ws=<*>, uid=<*>, pid=<*>"
