id,log,seen,semantic_template,template,valid,predict
1,Created MRAppMaster for application appattempt_1445144423722_0020_000001,False,Created MRAppMaster for application {application_attempt_id},Created MRAppMaster for application <*>,True,Created MRAppMaster for application <*>
2,Executing with tokens:,False,Executing with tokens:,Executing with tokens:,True,Executing with tokens:
3,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId ( application_id ( id: 20 cluster_timestamp: 1445144423722 ) attemptId: 1 ) keyId: -127633188)",False,"Kind: {token_kind}, Service: {service}, Ident: (appAttemptId ( application_id ( id: {application_id} cluster_timestamp: {cluster_timestamp} ) attemptId: {attempt_id} ) keyId: {key_id})","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId ( application_id ( id: <*> cluster_timestamp: <*> ) attemptId: <*> ) keyId: <*>)",True,"Kind: <*>, Service: <*>, Ident: (appAttemptId ( application_id ( id: <*> cluster_timestamp: <*> ) attemptId: <*> ) keyId: <*>)"
4,Using mapred newApiCommitter.,False,Using mapred newApiCommitter.,Using mapred newApiCommitter.,True,Using mapred newApiCommitter.
6,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,False,OutputCommitter is {output_committer_class},OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,True,OutputCommitter is <*>
7,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
8,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
9,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
10,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
11,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
12,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
13,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
14,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
15,Default file system [hdfs://msra-sa-41:9000],False,Default file system [{file_system}],Default file system [hdfs://<*>:<*>],True,Default file system [<*>]
16,Default file system [hdfs://msra-sa-41:9000],False,Default file system [{file_system}],Default file system [hdfs://<*>:<*>],True,Default file system [<*>]
17,Default file system [hdfs://msra-sa-41:9000],False,Default file system [{file_system}],Default file system [hdfs://<*>:<*>],True,Default file system [<*>]
18,Emitting job history data to the timeline server is not enabled,False,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,True,Emitting job history data to the timeline server is not enabled
19,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,False,Registering class {event_type_class} for class {job_history_event_handler_class},Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,True,Registering class <*> for class <*>
20,loaded properties from hadoop-metrics2.properties,False,loaded properties from {properties_file},loaded properties from hadoop-metrics2.properties,True,loaded properties from <*>
21,Scheduled snapshot period at 10 second(s).,False,Scheduled snapshot period at {snapshot_period} second(s).,Scheduled snapshot period at <*> second(s).,True,Scheduled snapshot period at <*> second(s).
22,MRAppMaster metrics system started,False,MRAppMaster metrics system started,MRAppMaster metrics system started,True,MRAppMaster metrics system started
23,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,False,Adding job token for {job_id} to {token_secret_manager},Adding job token for <*> to jobTokenSecretManager,True,Adding job token for <*> to <*>
