id,log,seen,semantic_template,template,valid,predict
2,onExtend:1514038530000 14 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
3,onReceive action: android.intent.action.SCREEN_ON,False,onReceive action: {action},onReceive action: android.intent.action.SCREEN_ON,True,onReceive action: <*>
4,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,False,processHandleBroadcastAction action:{action},processHandleBroadcastAction action:android.intent.action.SCREEN_ON,True,processHandleBroadcastAction action:<*>
6,getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
7,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
9,calculateCaloriesWithCache totalCalories=126775,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
10,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
11,REPORT : 7007 5002 150089 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
12,onExtend:1514038530000 0 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
15,onExtend:1514038530000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
16,getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
17,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
18,calculateCaloriesWithCache totalCalories=126797,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
19,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
20,REPORT : 7008 5003 150111 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
22,onExtend:1514038531000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
23,getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
24,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
25,calculateCaloriesWithCache totalCalories=126818,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
26,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
27,REPORT : 7009 5004 150132 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
29,onExtend:1514038531000 2 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
30,getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
31,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
32,calculateCaloriesWithCache totalCalories=126861,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
33,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
34,REPORT : 7011 5005 150175 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
36,onExtend:1514038532000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
37,getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
38,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
39,calculateCaloriesWithCache totalCalories=126882,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
40,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
41,REPORT : 7012 5006 150197 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
43,onExtend:1514038533000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
44,getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
45,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
46,calculateCaloriesWithCache totalCalories=126904,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
47,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
48,REPORT : 7013 5007 150218 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
50,onExtend:1514038533000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
51,getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
52,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
53,calculateCaloriesWithCache totalCalories=126925,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
54,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
55,REPORT : 7014 5007 150239 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
57,onExtend:1514038534000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
58,getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
59,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
60,calculateCaloriesWithCache totalCalories=126947,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
61,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
62,REPORT : 7015 5008 150261 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
64,onExtend:1514038535000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
67,onExtend:1514038535000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
68,getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
69,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
70,calculateCaloriesWithCache totalCalories=126989,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
71,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
72,isScreenOn true,False,isScreenOn {boolean_value},isScreenOn <*>,True,isScreenOn <*>
73,"screen status unknown,think screen on",False,"screen status {status},think screen {state}","screen status unknown,think screen on",True,"screen status <*>,think screen <*>"
74,REPORT : 7017 5010 150304 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
75,onReceive action: android.intent.action.SCREEN_ON,False,onReceive action: {action},onReceive action: android.intent.action.SCREEN_ON,True,onReceive action: <*>
76,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,False,processHandleBroadcastAction action:{action},processHandleBroadcastAction action:android.intent.action.SCREEN_ON,True,processHandleBroadcastAction action:<*>
78,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
79,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,False,setTodayTotalDetailSteps={timestamp}##{user_id}##{step_count}##{unknown_1}##{unknown_2}##{unknown_3},setTodayTotalDetailSteps=<*>,True,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
81,calculateCaloriesWithCache totalCalories=126989,False,calculateCaloriesWithCache totalCalories={totalCalories},calculateCaloriesWithCache totalCalories=<*>,True,calculateCaloriesWithCache totalCalories=<*>
82,calculateAltitudeWithCache totalAltitude=240,False,calculateAltitudeWithCache totalAltitude={totalAltitude},calculateAltitudeWithCache totalAltitude=<*>,True,calculateAltitudeWithCache totalAltitude=<*>
83,REPORT : 7017 5010 150304 240,False,REPORT : {variable1} {variable2} {variable3} {variable4},REPORT : <*> <*> <*> <*>,True,REPORT : <*> <*> <*> <*>
85,onExtend:1514038536000 0 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
87,onExtend:1514038536000 1 0 4,False,onExtend:{timestamp} {value1} {value2} {value3},onExtend:<*> <*> <*> <*>,True,onExtend:<*> <*> <*> <*>
88,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,False,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,True,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
