id,log,seen,semantic_template,template,valid,predict
1,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>
2,check pass; user unknown,False,check pass; user {username},check pass; user unknown,True,check pass; user <*>
3,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>
4,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost} user={user},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
5,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost} user={user},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
6,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost} user={user},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
7,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost} user={user},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
8,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost} user={user},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
9,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost} user={user},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
10,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,False,authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost} user={user},authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,True,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*> user=<*>
