id,log,seen,semantic_template,template,valid,predict
1,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,False,{component}<{instance}>({memory_address})::listenerCallback - Thunderbolt HPD packet for route = {route} port = {port} unplug = {unplug},<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,True,<*><<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
2,Thermal pressure state: 1 Memory pressure state: 0,False,{thermal_pressure_state}: {thermal_pressure_value} {memory_pressure_state}: {memory_pressure_value},Thermal pressure state: <*> Memory pressure state: <*>,True,<*>: <*> <*>: <*>
3,FA||Url||taskID[2019352994] dealloc,False,{component}||{context}||taskID[{task_id}] dealloc,FA||Url||taskID[<*>] dealloc,True,<*>||<*>||taskID[<*>] dealloc
4,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],False,{thermal_pressure_state}: {thermal_pressure_value} {memory_pressure_state}: {memory_pressure_value},ARPT: <*>: <*>::syncPowerState: WWEN[enabled],True,<*>: <*> <*>: <*>
5,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],False,{thermal_pressure_state}: {thermal_pressure_value} {memory_pressure_state}: {memory_pressure_value},ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],True,<*>: <*> <*>: <*>
6,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),False,{mDNS_DeregisterInterface}: Frequent transitions for interface {interface_name} ({interface_address}),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),True,<*>: Frequent transitions for interface <*> (<*>)
7,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",False,{thermal_pressure_state}: {thermal_pressure_value} {memory_pressure_state}: {memory_pressure_value},"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",True,<*>: <*> <*>: <*>
8,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",False,{thermal_pressure_state}: {thermal_pressure_value} {memory_pressure_state}: {memory_pressure_value},"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",True,<*>: <*> <*>: <*>
9,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,False,{thermal_pressure_state}: {thermal_pressure_value} {memory_pressure_state}: {memory_pressure_value},ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,True,<*>: <*> <*>: <*>
10,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,False,{event_description} unexpected switch value {switch_value},<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,True,<*> unexpected switch value <*>
11,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,False,{IO80211AWDLPeerManager::setAwdlAutoMode} Resuming AWDL,<*>::setAwdlAutoMode Resuming AWDL,True,<*> Resuming AWDL
12,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,False,{event_description} unexpected switch value {switch_value},<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,True,<*> unexpected switch value <*>
13,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",False,{thermal_pressure_state}: {thermal_pressure_value} {memory_pressure_state}: {memory_pressure_value},"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",True,<*>: <*> <*>: <*>
14,AppleCamIn::systemWakeCall - messageType = 0xE0000340,False,{component}::{function} - {parameter} = {value},AppleCamIn::systemWakeCall - messageType = <*>,True,<*>::<*> - <*> = <*>
15,"setting hostname to ""authorMacBook-Pro.local""",False,"{setting hostname to} ""{authorMacBook-Pro.local}""","setting hostname to ""<*>""",True,"<*> ""<*>"""
16,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds. Ignoring.",False,{application_name}: {event_description}; {condition_description} {time_reference} {action}.,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",True,<*>: <*>; <*> <*> <*>.
17,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,False,{CCIOReporterFormatter::addRegistryChildToChannelDictionary} streams {number},CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,True,<*> streams <*>
18,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,False,{timestamp} <<<< {component} >>>> {event_name}: [{memory_address}] {message},[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,True,<*> <<<< <*> >>>> <*>: [<*>] <*>
19,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds. Ignoring.",False,{application_name}: {event_description}; {condition_description} {time_reference} {action}.,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",True,<*>: <*>; <*> <*> <*>.
20,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,False,{IO80211AWDLPeerManager::setAwdlAutoMode} Resuming AWDL,<*>::setAwdlAutoMode Resuming AWDL,True,<*> Resuming AWDL
21,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,False,{interface}: Link Down on {interface_name}. Reason {reason_code} ({reason_description}).,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,True,<*>: Link Down on <*>. Reason <*> (<*>).
