project,shot,LLM_CALLS,PROMPT_TOKENS,COMPLETION_TOKENS,cost,GA,PA,ED,ED_std
HealthApp,0,63,9253,871,0.00144021,0.8814553990610329,0.7007042253521126,8.088028169014084,14.305535793106284
HealthApp,1,71,13451,1176,0.0020882099999999,0.9043427230046948,0.7183098591549296,7.036971830985915,11.932386561210413
HealthApp,2,68,15924,1136,0.0024567599999999,0.9019953051643192,0.7318075117370892,7.02112676056338,11.974474991103795
HealthApp,4,79,26489,1606,0.00406971,0.9988262910798122,0.829225352112676,3.7693661971830985,8.783399064645213
Android,0,85,13462,1874,0.00213174,0.7647652700656234,0.4669358909641595,11.36749116607774,18.05516906456634
Android,1,158,32141,2798,0.00498903,0.9570923775870772,0.6415951539626451,7.238263503281171,15.687436972350184
Android,2,150,40911,3173,0.00632703,0.9636547198384654,0.6082786471479051,8.236244321049975,15.920953110107751
Android,4,154,62344,3590,0.0095669999999999,0.9581019687026754,0.696113074204947,7.0196870267541644,15.394496617328452
BGL,0,37,5684,527,0.0008842199999999,0.2947202521670606,0.2687155240346729,42.44759653270292,57.91214893119866
BGL,1,107,21928,2460,0.0034368,0.8873128447596532,0.7399527186761229,7.196217494089835,20.212857478398696
BGL,2,117,31074,3135,0.0048492,0.7588652482269503,0.4452324665090622,7.561859732072498,23.19894419642896
BGL,4,112,38998,2933,0.0060256799999999,0.9629629629629628,0.9196217494089834,3.2671394799054374,14.248178507900445
Hadoop,0,69,10699,1101,0.0016709099999999,0.3872919818456883,0.1164901664145234,33.522440746343925,40.94185360230692
Hadoop,1,151,32176,3610,0.005043,0.957135653050933,0.3721633888048411,12.766011094301565,23.63731919813052
Hadoop,2,102,25905,2774,0.00405219,0.6243066061522945,0.3706505295007564,22.78416540595058,41.35464384102744
Hadoop,4,113,41288,2459,0.0063407399999999,0.957135653050933,0.6116994452849218,9.262228946041352,22.409785982696185
Linux,0,27,3981,295,0.00061485,0.6045891141942369,0.1003201707577374,27.69797225186766,32.03377563406833
Linux,1,107,19278,1306,0.00297006,0.7289220917822838,0.1360725720384205,9.618996798292423,8.569882351506722
Linux,2,332,79035,10243,0.01246983,0.7337246531483458,0.1435432230522945,7.698505869797225,5.646026729622265
Linux,4,117,35596,1961,0.00545706,0.7337246531483458,0.1590181430096051,7.473319103521878,5.544674772476555
Mac,0,432,77338,15357,0.01252212,0.7296747967479674,0.2952235772357723,25.496951219512194,34.99224639513886
Mac,1,167,41706,3563,0.00646968,0.2423780487804878,0.0315040650406504,60.00660569105691,64.13927820930303
Mac,2,429,146479,13151,0.02276091,0.7108739837398373,0.399390243902439,18.840447154471544,39.91069744481747
Mac,4,376,199530,12230,0.0306633,0.7347560975609756,0.3958333333333333,17.272357723577237,38.98517031125088
Thunderbird,0,135,20333,1843,0.00316053,0.9579158316633266,0.9018036072144288,1.997995991983968,7.954340894764582
Thunderbird,1,120,23081,1632,0.00356007,0.9268537074148296,0.8517034068136272,3.323647294589178,9.99801893823102
Thunderbird,2,143,33730,2159,0.00518904,0.9549098196392786,0.4659318637274549,6.412324649298597,7.950991443630599
Thunderbird,4,174,71913,4060,0.01103055,0.9483967935871744,0.9113226452905812,1.3602204408817635,6.05130045741863
Mac,1,145,36830,2854,0.0056957399999999995,0.23272357723577236,0.031504065040650404,60.9395325203252,67.60992932159368
